Suranadi,Nusa Tenggara Barat,Lombok Barat,"Suranadi, Lombok Barat","-8.5697426,116.2325988"
Sade Sasak Village,Nusa Tenggara Barat,Lombok Tengah,"Sade Sasak Village, Lombok Tengah","-8.8393994,116.2921904"
Lebakjero,Jawa Barat,Karangtengah,"Lebakjero, Karangtengah","-7.0536592,107.8939791"
Fort de Kock,Sumatera Barat,Bukittinggi,"Fort de Kock, Bukittinggi","-0.3004251,100.3677425"
Batam Cable Ski,Kepulauan Riau كڤولاوان رياو,Batam,"Batam Cable Ski, Batam","1.0802732,103.9378048"
Dungus Iwul Nature reserve,Jawa Barat,Kab Bogor,"Dungus Iwul Nature reserve, Kab Bogor","-6.5231753,106.4182127"
Bali Butterfly Park,Bali,Tabanan,"Bali Butterfly Park, Tabanan","-8.4794589,115.1346292"
Londa,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Londa, Toraja Utara","-3.0149146,119.875886"
Lemo,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Lemo, Tana Toraja","-3.0414168,119.8775871"
Batak King Grave,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Batak King Grave, Samosir","2.6513584,98.860585"
Batak Village,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Batak Village, Karo","3.0177828,98.5517161"
Volcanic Sulpher,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Tapanuli Utara,"Volcanic Sulpher, Tapanuli Utara","2.074709,98.9443949"
Hotspring,Sumatera Barat,Pasaman,"Hotspring, Pasaman","0.3477409,100.0684762"
Real Equator crossing,Sumatera Barat,Pasaman,"Real Equator crossing, Pasaman","-3e-07,100.2202403"
War Memorial,Sumatera Barat,Pasaman,"War Memorial, Pasaman","0.1005045,100.1904734"
Weaving Workshop,Sumatera Barat,Tanah Datar,"Weaving Workshop, Tanah Datar","-0.4037541,100.3946662"
Eka Lokasari,Jawa Barat,Bogor,"Eka Lokasari, Bogor","-6.6218886,106.8174702"
Paintball,Bali,Badung,"Paintball, Badung","-8.8177858,115.1638782"
Pura Susunan Wadonan,Bali,Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ,"Pura Susunan Wadonan, Denpasar ᬤᬾᬦ᭄ᬧᬲᬃ","-8.7401106,115.2371004"
Hot Springs,Jawa Barat,Subang,"Hot Springs, Subang","-6.7614313,107.6259079"
Cirahayu,Jawa Barat,Tasikmalaya,"Cirahayu, Tasikmalaya","-7.1344559,108.1181141"
Ciawi,Jawa Barat,Tasikmalaya,"Ciawi, Tasikmalaya","-7.1573957,108.1457184"
Bumiwaluya,Jawa Barat,Garut,"Bumiwaluya, Garut","-7.0587259,108.0705853"
Leuwigoong,Jawa Barat,Sindangsari,"Leuwigoong, Sindangsari","-7.1033308,107.9581854"
Indihiang,Jawa Barat,Tasikmalaya,"Indihiang, Tasikmalaya","-7.2867472,108.200856"
Rajapolah,Jawa Barat,Tasikmalaya,"Rajapolah, Tasikmalaya","-7.2195734,108.1911804"
Manonjaya,Jawa Barat,Tasikmalaya,"Manonjaya, Tasikmalaya","-7.3532178,108.3026508"
Tasikmalaya,Jawa Barat,Tasikmalaya,"Tasikmalaya, Tasikmalaya","-7.3222315,108.2239381"
Kasugihan,Jawa Tengah,Cilacap ꦕꦶꦭꦕꦥ꧀,"Kasugihan, Cilacap ꦕꦶꦭꦕꦥ꧀","-7.6183957,109.12172"
Kalibodri,Jawa Tengah,Kendal ꦏꦼꦤ꧀ꦢꦭ꧀,"Kalibodri, Kendal ꦏꦼꦤ꧀ꦢꦭ꧀","-6.9737031,110.1481776"
Tanggung,Jawa Tengah,Grobogan ꦒꦿꦺꦴꦧꦺꦴꦒꦤ꧀,"Tanggung, Grobogan ꦒꦿꦺꦴꦧꦺꦴꦒꦤ꧀","-7.0914907,110.6032465"
Ijo,Jawa Tengah,Kebumen ꦏꦼꦧꦸꦩꦺꦤ꧀,"Ijo, Kebumen ꦏꦼꦧꦸꦩꦺꦤ꧀","-7.6150095,109.4469228"
Hollywood sign,Maluku,Maluku,"Hollywood sign, Maluku","-3.7554641,128.1298713"
Tenganan Pegringsingan,Bali,Karangasem,"Tenganan Pegringsingan, Karangasem","-8.4746834,115.5666957"
Monkey Feeding area,Nusa Tenggara Timur,Ende,"Monkey Feeding area, Ende","-8.7689753,121.8140631"
Kebonromo,Jawa Tengah,Sragen,"Kebonromo, Sragen","-7.4190235,111.0639984"
Geneng,Jawa Timur,Ngawi ꦔꦮꦶ,"Geneng, Ngawi ꦔꦮꦶ","-7.4981245,111.4188298"
Kalisat,Jawa Timur,Jember,"Kalisat, Jember","-8.1268771,113.8123498"
Peterongan,Jawa Timur,Jombang,"Peterongan, Jombang","-7.5417187,112.279445"
Sembung,Jawa Timur,Jombang,"Sembung, Jombang","-7.5825814,112.1671585"
Tulangan,Jawa Timur,Sidoarjo,"Tulangan, Sidoarjo","-7.4655613,112.6510185"
Stone Chairs of Ambarita,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Stone Chairs of Ambarita, Samosir","2.6788239,98.8365415"
Kantor Sinode GMIM,Sulawesi Utara,Tomohon,"Kantor Sinode GMIM, Tomohon","1.3347564,124.8374226"
Auditorium Bukit Inspirasi,Sulawesi Utara,Tomohon,"Auditorium Bukit Inspirasi, Tomohon","1.3378463,124.837796"
Hot springs,Sulawesi Utara,Sulawesi,"Hot springs, Sulawesi","1.1668971,124.8207836"
Melapi 1,Kalimantan Barat,Kapuas Hulu,"Melapi 1, Kapuas Hulu","0.8197857,112.9772849"
Rumah Panjang Bali Gundi,Kalimantan Barat,Kapuas Hulu,"Rumah Panjang Bali Gundi, Kapuas Hulu","0.96275,112.9336293"
Sungai Uluk Palin,Kalimantan Barat,Kapuas Hulu,"Sungai Uluk Palin, Kapuas Hulu","1.051663,112.7819164"
Tegenungan Blangsinga,Bali,Gianyar,"Tegenungan Blangsinga, Gianyar","-8.5752294,115.2907014"
Bonsai Trees,Nusa Tenggara Timur,Timor Tengah Selatan,"Bonsai Trees, Timor Tengah Selatan","-9.6321435,124.2146462"
Start Gunung Mutis Track,Nusa Tenggara Timur,Timor Tengah Selatan,"Start Gunung Mutis Track, Timor Tengah Selatan","-9.6102597,124.2238294"
Old Fort,Nusa Tenggara Timur,Timor Tengah Selatan,"Old Fort, Timor Tengah Selatan","-9.8333073,124.4127096"
Burial caves Londa,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Burial caves Londa, Toraja Utara","-3.0161556,119.8764741"
Natural swimming pool,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Natural swimming pool, Tana Toraja","-3.0350765,119.8874864"
Mud Wells,Nusa Tenggara Timur,Kupang,"Mud Wells, Kupang","-10.2065664,123.4099801"
Tempat Pasola,Nusa Tenggara Timur,Sumba Barat,"Tempat Pasola, Sumba Barat","-9.7410705,119.3295542"
Stasiun Tas,Jawa Barat,Bogor,"Stasiun Tas, Bogor","-6.6186481,106.8213525"
Japanese Cave,Sulawesi Utara,Sulawesi,"Japanese Cave, Sulawesi","1.2041396,124.8075258"
Japanese Cave,Sulawesi Utara,Sulawesi,"Japanese Cave, Sulawesi","1.3269041,124.9252742"
Kampoeng Wisata Cinangneng,Jawa Barat,Kab Bogor,"Kampoeng Wisata Cinangneng, Kab Bogor","-6.5281254,106.7293438"
Batu Tulis,Nusa Tenggara Barat,,"Batu Tulis, ","-8.4457729,118.5327377"
Marcopolo Water Adventure,Jawa Barat,Bogor,Jalan Bukit Cimanggu City Raya,"-6.5478286,106.7826037"
Air Ball Water Battle,Jawa Barat,Bogor,"Air Ball Water Battle, Bogor","-6.6226185,106.8211453"
Dunebuggy Racetrack,Jawa Barat,Bogor,"Dunebuggy Racetrack, Bogor","-6.6228783,106.8221275"
Zipline,Jawa Barat,Bogor,"Zipline, Bogor","-6.6227539,106.8219383"
Lido Lakes,Jawa Barat,Kab Bogor,"Lido Lakes, Kab Bogor","-6.7422165,106.8082907"
Pondok Mao,Jawa Barat,Kab Sukabumi,"Pondok Mao, Kab Sukabumi","-6.7676726,106.7781399"
Javana Spa,Jawa Barat,Kab Sukabumi,"Javana Spa, Kab Sukabumi","-6.74386,106.7155744"
Bogor Golf,Jawa Barat,Bogor,"Bogor Golf, Bogor","-6.5868125,106.7825678"
SKI,Jawa Barat,Bogor,"SKI, Bogor","-6.6219242,106.8197168"
Karimun Jawa Mangrove Tracking,Jawa Tengah,Jepara ꦗꦼꦥꦫ,"Karimun Jawa Mangrove Tracking, Jepara ꦗꦼꦥꦫ","-5.8277199,110.4676826"
SD Perumnas,Daerah Istimewa Yogyakarta,Sleman,"SD Perumnas, Sleman","-7.7567811,110.4072218"
Nanga Na'e,Nusa Tenggara Barat,,"Nanga Na'e, ","-8.2480223,117.7191662"
Diving Spot,,Daerah Khusus ibukota Jakarta,"Diving Spot, Daerah Khusus ibukota Jakarta","-5.7374257,106.6148005"
Diving Spot,,Daerah Khusus ibukota Jakarta,"Diving Spot, Daerah Khusus ibukota Jakarta","-5.7381859,106.5909032"
Diving Spot,,Daerah Khusus ibukota Jakarta,"Diving Spot, Daerah Khusus ibukota Jakarta","-5.7389038,106.6207854"
Diving Spot,,Daerah Khusus ibukota Jakarta,"Diving Spot, Daerah Khusus ibukota Jakarta","-5.7393262,106.6197667"
Diving Spot,,Daerah Khusus ibukota Jakarta,"Diving Spot, Daerah Khusus ibukota Jakarta","-5.7457879,106.5892053"
Diving Spot,,Daerah Khusus ibukota Jakarta,"Diving Spot, Daerah Khusus ibukota Jakarta","-5.7478151,106.6018119"
Diving Spot,,Daerah Khusus ibukota Jakarta,"Diving Spot, Daerah Khusus ibukota Jakarta","-5.7505602,106.6094098"
Obyek Pariwisata Benteng portugis,Jawa Tengah,Jepara ꦗꦼꦥꦫ,"Obyek Pariwisata Benteng portugis, Jepara ꦗꦼꦥꦫ","-6.4052482,110.9171077"
PLTD Apung,Aceh اچيه,Banda Aceh,"PLTD Apung, Banda Aceh","5.5463878,95.3067753"
Tsunami Monument,Aceh اچيه,Banda Aceh,"Tsunami Monument, Banda Aceh","5.5503658,95.3127972"
Situ Cangkuang,Jawa Barat,Cangkuang,"Situ Cangkuang, Cangkuang","-7.1011174,107.9193021"
Trawangan Wall,Nusa Tenggara Barat,Kec. Ampenan,"Trawangan Wall, Kec. Ampenan","-8.3465756,116.0436158"
Tanjong Trekking Advanture,Jawa Tengah,Jepara ꦗꦼꦥꦫ,"Tanjong Trekking Advanture, Jepara ꦗꦼꦥꦫ","-5.7725371,110.4833865"
PT Toarco Jaya Coffee,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"PT Toarco Jaya Coffee, Toraja Utara","-3.0221125,119.9780295"
Sa'dan,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Sa'dan, Toraja Utara","-2.881958,119.9444462"
Bolu - buffalo market,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Bolu - buffalo market, Toraja Utara","-2.9611685,119.9117677"
Tapak Paderi,Bengkulu,Bengkulu,"Tapak Paderi, Bengkulu","-3.7850619,102.2533746"
Friends of the National Parks Foundation,Bali,Klungkung,"Friends of the National Parks Foundation, Klungkung","-8.675884,115.5104987"
USAT Liberty Wreck,Bali,Karangasem,"USAT Liberty Wreck, Karangasem","-8.2739054,115.5926122"
Surfing Kuta Area,Nusa Tenggara Barat,Kec. Sandubaya,"Surfing Kuta Area, Kec. Sandubaya","-8.9130039,116.3062469"
Pelabuhan Rivercruises,Nusa Tenggara Barat,Lombok Barat,"Pelabuhan Rivercruises, Lombok Barat","-8.5489038,116.079897"
Bat Cave,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Langkat,"Bat Cave, Langkat","3.5364676,98.1243094"
Manta Point,Bali,Klungkung,"Manta Point, Klungkung","-8.7947861,115.5259217"
Desert Point Surf Break,Nusa Tenggara Barat,Kec. Sekarbela,"Desert Point Surf Break, Kec. Sekarbela","-8.7300277,115.8366613"
Underwater Shrine,Bali,Karangasem,"Underwater Shrine, Karangasem","-8.3376207,115.6610709"
University of Indonesia Wood,Jawa Barat,Depok ᮓᮦᮕᮧᮊ᮪,"University of Indonesia Wood, Depok ᮓᮦᮕᮧᮊ᮪","-6.3560403,106.8293001"
Old Minang houses,Sumatera Barat,Tanah Datar,"Old Minang houses, Tanah Datar","-0.4665919,100.5699849"
Pacu Jawi grounds,Sumatera Barat,Tanah Datar,"Pacu Jawi grounds, Tanah Datar","-0.4298146,100.5413604"
lots of traditional houses,Sumatera Barat,Tanah Datar,"lots of traditional houses, Tanah Datar","-0.4346639,100.551424"
Gunongan,Aceh اچيه,Banda Aceh,"Gunongan, Banda Aceh","5.5458061,95.3162249"
Feeding Cam Lakey,Kalimantan Tengah,Kotawaringin Barat,"Feeding Cam Lakey, Kotawaringin Barat","-2.7650718,111.9529234"
Pusat Latihan Gajah Riau,Riau رياو,Siak,"Pusat Latihan Gajah Riau, Siak","0.7234307,101.4116627"
Tip Top,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Kota Medan ᯔᯩᯑᯉ᯲,Ahmad Yani d/h Kesawan,"3.5860671,98.6796301"
Sendang Biru,Jawa Timur,Kabupaten Malang,"Sendang Biru, Kabupaten Malang","-8.4313499,112.686289"
Old grave ompu raja rosuhul sihaloho,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Old grave ompu raja rosuhul sihaloho, Samosir","2.749414,98.7500427"
Anugrah Sibayak Hot Spring,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Anugrah Sibayak Hot Spring, Karo","3.2241149,98.5148257"
Blue Lagoon,Daerah Istimewa Yogyakarta,Sleman,"Blue Lagoon, Sleman","-7.7043799,110.4503884"
Artist Village,Sumatera Barat,Tanah Datar,"Artist Village, Tanah Datar","-0.4029214,100.3959397"
Rumah Pengasingan Cut Nyak Dien,Jawa Barat,Sumedang,"Rumah Pengasingan Cut Nyak Dien, Sumedang","-6.8591397,107.9188398"
Pangeran Kornel,Jawa Barat,Sumedang,"Pangeran Kornel, Sumedang","-6.852971,107.921424"
Mumi Jiwika,Papua Pegunungan,Jayawijaya,"Mumi Jiwika, Jayawijaya","-3.9637152,138.9462252"
Gilisui,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Sulawesi,"Gilisui, Sulawesi","-7.3016874,121.7038397"
Ke'te Kesu,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Ke'te Kesu, Toraja Utara","-2.9966445,119.9102631"
Rafflesia Arnold flower,Sumatera Barat,Agam,"Rafflesia Arnold flower, Agam","-0.2452502,100.3497146"
Stone Chairs,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Stone Chairs, Samosir","2.6769141,98.8396307"
Hot Spring,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Hot Spring, Karo","3.2246365,98.5158122"
Kopi Aroma,Jawa Barat,Kota Bandung,"Kopi Aroma, Kota Bandung","-6.9174718,107.6062699"
Coco Wayan,Bali,Gianyar,"Coco Wayan, Gianyar","-8.501085,115.261803"
Jantur Gemuruh,Kalimantan Timur,Kutai Barat,"Jantur Gemuruh, Kutai Barat","-0.29419,115.7397364"
Kawasan Konservasi Manggrove,Kalimantan Timur,Balikpapan,"Kawasan Konservasi Manggrove, Balikpapan","-1.2266716,116.8241833"
Api Tak Kunjung Padam,Jawa Timur,Pamekasan,"Api Tak Kunjung Padam, Pamekasan","-7.2048734,113.4610372"
Canoe Rental,Bali,Badung,"Canoe Rental, Badung","-8.8455531,115.1856267"
Surau Nagari,Sumatera Barat,Tanah Datar,"Surau Nagari, Tanah Datar","-0.4777924,100.4585767"
Dermaga Ngebel,Jawa Timur,Ponorogo ꦥꦤꦫꦒ,"Dermaga Ngebel, Ponorogo ꦥꦤꦫꦒ","-7.7921728,111.636361"
AlamSari Agrotourism,Bali,Gianyar,"AlamSari Agrotourism, Gianyar","-8.5895526,115.2536751"
The Only One silver crafts,Bali,Gianyar,"The Only One silver crafts, Gianyar","-8.633763,115.2588957"
Manta Point,Papua Barat Daya,Raja Ampat,"Manta Point, Raja Ampat","-0.5809433,130.5409632"
Mata Air Garam,Papua Pegunungan,Jayawijaya,"Mata Air Garam, Jayawijaya","-3.9525176,138.9598215"
Wooden House Factory,Sulawesi Utara,Tomohon,"Wooden House Factory, Tomohon","1.3183539,124.8218999"
Monkey forest,Aceh اچيه,Sabang,"Monkey forest, Sabang","5.8391903,95.2824481"
Elephant camp,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Langkat,"Elephant camp, Langkat","3.6963282,98.0691255"
tiu pupus waterfall,Nusa Tenggara Barat,Lombok Utara,"tiu pupus waterfall, Lombok Utara","-8.3395991,116.2188563"
Elephant wash riding & river,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Langkat,"Elephant wash riding & river, Langkat","3.6862014,98.0750961"
PLTD Apung Entrance,Aceh اچيه,Banda Aceh,"PLTD Apung Entrance, Banda Aceh","5.5462935,95.3064385"
Pelabuhan Simanindo,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Sumatera,"Pelabuhan Simanindo, Sumatera","2.7543596,98.7458933"
Huta Raja,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Huta Raja, Samosir","2.6638815,98.6890994"
Batu Sawan,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Batu Sawan, Samosir","2.5900426,98.6467775"
Batu Parhusipan Si Boru Pareme,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Batu Parhusipan Si Boru Pareme, Samosir","2.5884532,98.6327074"
Kubah Lava Dasirik,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Kubah Lava Dasirik, Samosir","2.5914113,98.6295012"
Batu Hobon,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Batu Hobon, Samosir","2.5901259,98.629086"
Hotspring,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Hotspring, Samosir","2.6190343,98.6738737"
Tano Ponggol,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Sumatera,"Tano Ponggol, Sumatera","2.6113319,98.6919563"
Sopo Guru Tatea Bulan,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Sopo Guru Tatea Bulan, Samosir","2.5918944,98.6306133"
Open Stage,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Open Stage, Samosir","2.6085271,98.6971395"
Batu Guru,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Sumatera,"Batu Guru, Sumatera","2.4354878,98.915736"
Latihan Paralayang,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Samosir,"Latihan Paralayang, Samosir","2.6177456,98.8713566"
Pulau Malau,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Sumatera,"Pulau Malau, Sumatera","2.7580633,98.7436808"
Air Panas Angseri,Bali,Tabanan,"Air Panas Angseri, Tabanan","-8.3555514,115.156705"
Tanjung Api (natural fire),Sulawesi Tengah,Tojo Una-Una,"Tanjung Api (natural fire), Tojo Una-Una","-0.8154928,121.6223001"
Ship hull,Bali,Badung,"Ship hull, Badung","-8.8445728,115.1082023"
Ship hull,Bali,Badung,"Ship hull, Badung","-8.8448326,115.1088034"
Nglirip waterfall,Jawa Timur,Tuban,"Nglirip waterfall, Tuban","-6.9683533,111.7940445"
Sunrise Point,Bali,Bangli,"Sunrise Point, Bangli","-8.2407236,115.3796729"
Bakas Adventure,Bali,Klungkung,"Bakas Adventure, Klungkung","-8.5204563,115.3585837"
Harbor: Boat Trips to Cilacap,Jawa Barat,Pangandaran,Ciamis Regency,"-7.6395955,108.7544496"
Surfspot Batu Karas,Jawa Barat,Jawa,Jalan Raya Cijulang,"-7.7488814,108.5012161"
Kuta Horses,Nusa Tenggara Barat,Lombok Tengah,Jalan Bypass,"-8.8926872,116.2899031"
bird market,Daerah Istimewa Yogyakarta,Kota Yogyakarta,"bird market, Kota Yogyakarta","-7.8246758,110.3548719"
Aregoling Beach,Nusa Tenggara Barat,Kec. Sandubaya,"Aregoling Beach, Kec. Sandubaya","-8.9016972,116.2110956"
surf beach,Nusa Tenggara Barat,Kec. Sandubaya,"surf beach, Kec. Sandubaya","-8.9036295,116.2466265"
Kambira baby graves,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Tana Toraja,"Kambira baby graves, Tana Toraja","-3.0825477,119.9176282"
Turtle Snorkeling Spot,Nusa Tenggara Barat,Kec. Ampenan,"Turtle Snorkeling Spot, Kec. Ampenan","-8.3401179,116.0419493"
Nini Fala,Maluku,Maluku Tengah,"Nini Fala, Maluku Tengah","-3.2699433,129.5527377"
Surf Break,Nusa Tenggara Barat,Kec. Ampenan,"Surf Break, Kec. Ampenan","-8.3612416,116.0403416"
Walk Path,Daerah Istimewa Yogyakarta,Kota Yogyakarta,"Walk Path, Kota Yogyakarta","-7.7951105,110.3561224"
Mystical neverland Bat cave,Nusa Tenggara Barat,Lombok Tengah,"Mystical neverland Bat cave, Lombok Tengah","-8.88967,116.2547691"
Coconuts Beach,Papua Barat,Western New Guinea,"Coconuts Beach, Western New Guinea","-2.4228689,134.2266883"
"Batupapan, rock layers beack",Papua,Western New Guinea,"Batupapan, rock layers beack, Western New Guinea","-2.2053977,136.4217401"
Sea village,Papua Barat,Western New Guinea,"Sea village, Western New Guinea","-2.7313835,134.5100363"
Danger Waves Sign!,Papua,Kepulauan Yapen,"Danger Waves Sign!, Kepulauan Yapen","-1.8902681,136.2391831"
Small Sea Village,Papua,Western New Guinea,"Small Sea Village, Western New Guinea","-1.892271,136.2375262"
Waves escape sign!,Papua,Kepulauan Yapen,"Waves escape sign!, Kepulauan Yapen","-1.8917206,136.2368703"
"Pigeons Holes, actual pigeons",Papua,Kepulauan Yapen,"Pigeons Holes, actual pigeons, Kepulauan Yapen","-1.8906527,136.2376583"
"Crafts, mini row boats, Traditional Snake Drums",Papua,Kepulauan Yapen,"Crafts, mini row boats, Traditional Snake Drums, Kepulauan Yapen","-1.8909602,136.2374733"
Lotus Lagoon,Bali,Karangasem,"Lotus Lagoon, Karangasem","-8.510924,115.5723731"
Old WWII plane hangars converted into houses,Papua,Biak Numfor,"Old WWII plane hangars converted into houses, Biak Numfor","-1.1830739,136.0780758"
Wandos Mangled Forested Boat Beach,Papua,Supiori,"Wandos Mangled Forested Boat Beach, Supiori","-0.7127577,135.7870431"
Coconuts beach,Papua,Western New Guinea,"Coconuts beach, Western New Guinea","-0.6900469,135.8259402"
Beautiful Small Coconuts  Bay,Papua,Western New Guinea,"Beautiful Small Coconuts  Bay, Western New Guinea","-0.8145005,135.9781691"
Marluia peninsula ,Papua,Western New Guinea,"Marluia peninsula , Western New Guinea","-0.8226892,135.999701"
"Rock mountain on the beach, giant coconut crabs here",Papua,Western New Guinea,"Rock mountain on the beach, giant coconut crabs here, Western New Guinea","-0.6923431,135.8310478"
Nice sand band river beach bay,Papua,Biak Numfor,"Nice sand band river beach bay, Biak Numfor","-0.8592687,136.0358829"
Postcard Coconuts Beach,Papua,Western New Guinea,"Postcard Coconuts Beach, Western New Guinea","-0.7274017,135.7651482"
Galugu Dua Weaving Village,Sulawesi Selatan ᨔᨘᨒᨓᨙᨔᨗ ᨑᨗᨕᨈ,Toraja Utara,"Galugu Dua Weaving Village, Toraja Utara","-2.8872927,119.9419791"
Fort Otanaha,Gorontalo,Gorontalo,"Fort Otanaha, Gorontalo","0.5486012,123.0083498"
Air Panas,Kalimantan Selatan,Hulu Sungai Selatan,"Air Panas, Hulu Sungai Selatan","-2.7915812,115.4526164"
Old WWII hangar,Papua,Biak Numfor,"Old WWII hangar, Biak Numfor","-1.1994567,136.1396204"
Bosnik beach,Papua,Biak Numfor,"Bosnik beach, Biak Numfor","-1.1711652,136.2368743"
Feeding Pondok Tangui,Kalimantan Tengah,Kotawaringin Barat,"Feeding Pondok Tangui, Kotawaringin Barat","-2.7942353,111.8821314"
Tanjung Harapan,Kalimantan Tengah,Kotawaringin Barat,"Tanjung Harapan, Kotawaringin Barat","-2.8331522,111.798079"
Big traditional house,Papua,Biak Numfor,"Big traditional house, Biak Numfor","-1.1970246,136.1446488"
Lapangan Volly,Bali,Karangasem,Pekarangan,"-8.487342,115.5469947"
3 WWII rusty tanks,Papua,Jayapura,"3 WWII rusty tanks, Jayapura","-2.5715447,140.7091924"
Dream point,Bali,Lembongan,"Dream point, Lembongan","-8.7030199,115.4397315"
Kuta beach,Nusa Tenggara Barat,Kec. Sandubaya,"Kuta beach, Kec. Sandubaya","-8.8938058,116.2813227"
Mawun Beach,Nusa Tenggara Barat,Lombok Tengah,"Mawun Beach, Lombok Tengah","-8.900352,116.2278379"
Tangkuban Perahu,Jawa Barat,Subang,Jalan Raya Lembang - Subang,"-6.7742798,107.6361233"
Situ Patengan,Jawa Barat,Kabupaten Bandung,Jalan Raya Ciwidey - Rancabali,"-7.1637986,107.3590194"
Underwater Volcano,Aceh اچيه,Sumatera,"Underwater Volcano, Sumatera","5.8408924,95.2875439"
YD9XRI,Papua Selatan,Asmat,Nusantara,"-5.5412133,138.1421821"
Air Panas Ginting,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Air Panas Ginting, Karo","3.224519,98.5141216"
Pariban Hotspring,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Pariban Hotspring, Karo","3.2256196,98.5117416"
Motor Rental,Nusa Tenggara Timur,Ende,"Motor Rental, Ende","-8.8474716,121.661447"
Alam Pesona,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Alam Pesona, Karo","3.221205,98.5154981"
Alam Sibayak,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Alam Sibayak, Karo","3.2228626,98.5136555"
Juana,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Juana, Karo","3.2234196,98.5141878"
La Megogo,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"La Megogo, Karo","3.2239579,98.5140699"
Maka Berena,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Maka Berena, Karo","3.2237129,98.5141557"
Purnamas,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Purnamas, Karo","3.2231385,98.5141986"
Rindu Alam,Sumatera Utara ᯘᯮᯔᯖᯩᯒ ᯥᯖᯒ,Karo,"Rindu Alam, Karo","3.2243315,98.5138425"
Green bowl beach,Bali,Badung,"Green bowl beach, Badung","-8.8486313,115.1710541"
