nama,provinsi,kabupaten/kota,alamat,titik_koordinat,kategori,latitude,longitude
Museum Lapawawoi,Sulawesi Selatan,Sulawesi,Jl MH Thamrin Manurunge Tanete Riattang Kabupaten Bone Sulawesi Selatan,"-4.5376862,120.3288644",Museum,-4.5376862,120.3288644
Museum Le Mayeur,Bali,Denpasar,Museum Le Mayeur Denpasar,"-8.674991,115.263716",Museum,-8.674991,115.263716
Museum Lewu Hante,Kalimantan Tengah,Barito Timur,Museum Lewu Hante Barito Timur,"-2.1986437,115.2401583",Museum,-2.1986437,115.2401583
Museum Lokabudaya Uncen,Papua,Jayapura,Museum Lokabudaya Uncen Jayapura,"-2.6104677,140.6604184",Museum,-2.6104677,140.6604184
Museum Mandala Bhakti,Jawa Tengah,Kota Semarang,Jalan MGR Sugiopranoto,"-6.9847963,110.4087995",Museum,-6.9847963,110.4087995
Museum Masjid Agung Demak,Jawa Tengah,Demak,Museum Masjid Agung Demak Demak,"-6.8943007,110.6377148",Museum,-6.8943007,110.6377148
Museum Mini Liang Bua,Nusa Tenggara Timur,Manggarai,Museum Mini Liang Bua Manggarai,"-8.5306057,120.4442511",Museum,-8.5306057,120.4442511
Museum Mini Merapi Sisa Hartaku,Daerah Istimewa Yogyakarta,Kepuhharjo,Jalan Petung Merapi,"-7.6004719,110.4491062",Museum,-7.6004719,110.4491062
Museum Minyak dan Gas Graha Widya Patra,DKI Jakarta,Jakarta Timur,Museum Minyak dan Gas Graha Widya Patra Jakarta Timur,"-6.302234,106.9052023",Museum,-6.302234,106.9052023
Museum Musik Indonesia,Jawa Timur,Kota Malang,Jalan Nusa Kambangan,"-7.9882707,112.6265568",Museum,-7.9882707,112.6265568
Museum Negeri NTB,Nusa Tenggara Barat,Mataram,Museum Negeri NTB Mataram,"-8.585067,116.0858857",Museum,-8.585067,116.0858857
Museum Negeri Provinsi Sulawesi Tengah,Sulawesi Tengah,Palu,Jalan Kemiri,"-0.9019804,119.8539365",Museum,-0.9019804,119.8539365
Museum Negeri Sumatera Utara,Sumatera Utara,Kota Medan,Hm joni,"3.5680478,98.6962484",Museum,3.5680478,98.6962484
Museum Nike Ardilla,Jawa Barat,Kota Bandung,Jalan Aria Utama,"-6.9405148,107.6725146",Museum,-6.9405148,107.6725146
Museum Pembela Tanah Air,Jawa Barat,Bogor,Museum Pembela Tanah Air Bogor,"-6.5851929,106.7963526",Museum,-6.5851929,106.7963526
Museum Pendet,Bali,Gianyar,Jalan Nyuh Bojog,"-8.5229011,115.2570676",Museum,-8.5229011,115.2570676
